id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365
"14195231",Large Private Room with private Bathroom/Entrance,"50773015",Paula,Koreatown,34.05709,-118.31554,Private room,"70","1","331"
"14210964",HUGE 9 BEDS 3BD/2BA LUXURY @ CENTER OF LOS ANGELES,"43941929",Sean & Jenny,Koreatown,34.06111,-118.31716,Entire home/apt,"341","3","336"
"14302316",Private eclectic penthouse unit in the heart of LA,"87374252",Robert,Koreatown,34.06413,-118.31068,Entire home/apt,"85","3","88"
"14348959",Cozy - Private 1 Bedroom Apartment in Korea Town,"87924400",Humberto,Koreatown,34.07077,-118.29814,Entire home/apt,"85","1","83"
"14593443",Centrally Located Spacious Apt,"90512096",Jae,Koreatown,34.06453,-118.29265,Shared room,"80","1","90"
"14789838",Cozy Corner,"92363381",Joe,Koreatown,34.0749,-118.29405,Private room,"80","1","74"
"14903074","Studio,#5 apartment, Ktown,","49219601",Alex,Koreatown,34.05739,-118.29352,Entire home/apt,"65","5","0"
"14917435",STUDIO 28 ~ Koreatown! Check-in anytime after 1pm,"51008136",Dennis,Koreatown,34.05956,-118.30707,Private room,"76","1","320"
"14949879",LUXURY CONDO PRIVATE ROOM in KOREATOWN,"94086714",James,Koreatown,34.07126,-118.28841,Private room,"149","1","90"
"14983123",Private master suite w/private bath in K-Town,"6842396",Rosa & Esfandiar,Koreatown,34.05743,-118.31928,Private room,"85","3","64"
"14983944",Private room in k-town,"6842396",Rosa & Esfandiar,Koreatown,34.058,-118.31918,Private room,"75","2","340"
"15023760",STUDIO 29 ~ 5 min to MetroRail & Wiltern KOREATOWN,"51008136",Dennis,Koreatown,34.05764,-118.30672,Entire home/apt,"76","1","301"
"15028677",Quiet Comfortable Private  Room with Heat/AC,"64824360",Czee,Koreatown,34.06595,-118.30324,Private room,"45","1","12"
"15086465",Charming Spacious Artist Space in 1920s K-town Apt,"1495481",Hope,Koreatown,34.06194,-118.29433,Entire home/apt,"80","5","0"
"15129003",Cozy Apt in Koreatown w Free Parking Gr8 Location,"72634154",Aaron,Koreatown,34.05891,-118.29772,Entire home/apt,"129","1","338"
